,Importer,WeightKG,Exporter,ValPerKG,ord,min_ord
1,Afghanistan,3946790,Pakistan,0.338967328,1,1
2,Afghanistan,48842.445,U.A Emirates,0.83743829,2,2
3,Afghanistan,24426,France,0.061270777,3,3
4,Afghanistan,22050,Japan,0.117556546,4,4
5,Afghanistan,21762.75,USA,8.094511241,5,5
6,Albania,5676510,Italy,0.885909165,1,1
7,Albania,803907,Germany,1.759074524,2,2
8,Albania,308970,Hungary,1.146719746,3,3
9,Albania,203914,Turkey,1.37847617,4,4
10,Albania,148918,United Kingdom,1.078872188,5,5
11,Albania,142889,Belgium,1.022379929,6,6
12,Albania,78687.731,Canada,1.120335329,7,7
13,Albania,50644,Switzerland,1.347746308,8,8
14,Albania,29466,Norway,0.496742653,9,9
15,Albania,27450,Greece,0.30876816,10,10
16,Albania,22621,USA,3.81172362,11,11
17,Albania,21731,China,1.072969859,12,12
18,Algeria,98975,Japan,0.093412859,1,1
19,Algeria,96683,Spain,1.943850355,2,2
20,Algeria,79086,Italy,1.306825544,3,3
21,Algeria,74943,China,2.669108522,4,4
22,Algeria,44200,Cambodia,0.48,5,5
23,Algeria,33350.203,Canada,1.154863885,6,6
24,Algeria,20500,Belgium,0.295685073,7,7
25,Andorra,550819,Spain,1.999177403,1,1
26,Angola,38037300,China,0.904495178,1,1
27,Angola,6553504,Pakistan,0.904355415,2,2
28,Angola,6304344.5,USA,0.919749282,3,3
29,Angola,3945265,Canada,1.027929125,4,4
30,Angola,3178405,U.A Emirates,0.912378259,5,5
31,Angola,2077145,India,0.725461053,6,6
32,Angola,1837418,Germany,1.137095414,7,7
33,Angola,1454020.25,Belgium,0.987885285,8,8
34,Angola,994052.1,Italy,1.054602449,9,9
35,Angola,894530.8,Netherlands,0.712277587,10,10
36,Angola,765695,Turkey,0.652920206,11,11
37,Angola,736905.5,Lithuania,0.92494513,12,12
38,Angola,692174.5,Bulgaria,0.679785887,13,13
39,Angola,643796,Liberia,0.930596413,14,14
40,Angola,619171.5,Spain,0.735485419,15,15
41,Angola,605866.3,Congo,0.321301498,16,16
42,Angola,500704,Poland,1.207932479,17,17
43,Angola,422579.5,Estonia,0.587933499,18,18
44,Angola,299652,South Korea,1.093423436,19,19
45,Angola,299010,Malta,0.855486121,20,20
46,Angola,210850,Japan,0.544341966,21,21
47,Angola,183513.5,Malaysia,0.7576624,22,22
48,Angola,174399.5,Hungary,0.934554869,23,23
49,Angola,142739.58,Portugal,1.137054264,24,24
50,Angola,137788,Slovakia,0.719968721,25,25
51,Angola,127229.5,Hong Kong,0.666909724,26,26
52,Angola,94393,Congo,0.486719354,27,27
53,Angola,74136.72,France,1.07703418,28,28
54,Angola,72054,Morocco,2.741771789,29,29
55,Angola,69549.714,Finland,1.031360834,30,30
56,Angola,68679.35,United Kingdom,2.119975768,31,31
57,Angola,66220.25,Denmark,0.802062278,32,32
58,Angola,60800,Togo,1.005429528,33,33
59,Angola,59805,Singapore,0.559079816,34,34
60,Angola,57174,Philippines,0.715147785,35,35
61,Angola,54740,Thailand,0.82395382,36,36
62,Angola,52717,Zimbabwe,0.881414345,37,37
63,Angola,44924,Cyprus,0.345918885,39,39
64,Angola,31733,Switzerland,1.035558624,40,40
65,Angola,28000,Australia,0.893696429,41,41
66,Angola,27780,Tokelau,0.809935205,42,42
67,Angola,26650,Panama,0.753764353,43,43
68,Angola,25500,North Korea,0.896523179,44,44
69,Angola,25392,Honduras,0.82185334,45,45
70,Angola,24165,Albania,0.50011049,46,46
71,Angola,23460,Ukraine,0.651708866,47,47
72,Angola,20245,Ethiopia,0.590622688,48,48
73,Antigua and Barbuda,21720,Belgium,0.864586971,1,1
74,Armenia,52385,Russian Federation,0.903611525,2,2
75,Armenia,37152,Bulgaria,3.409156035,3,3
76,Armenia,33607.15,France,4.313874349,4,4
77,Armenia,31296.5,Germany,4.460425309,5,5
78,Armenia,29487.16,USA,10.73377537,6,6
79,Armenia,26345.12,Poland,12.09951748,7,7
80,Armenia,23775,India,4.015602077,8,8
81,Armenia,21865.89,China,13.88971096,9,9
82,Australia,16036719.23,U.A Emirates,1.093173856,1,1
83,Australia,434747.5435,Australia,1.45045529,3,3
84,Australia,401304.0065,USA,5.246822247,4,4
85,Australia,325999.441,Pakistan,1.125708322,5,5
86,Australia,274961,Hong Kong,1.848270517,6,6
87,Australia,185447.104,South Korea,2.249148134,7,7
88,Australia,170057.362,Malaysia,1.106050466,8,8
89,Australia,151302.7635,Thailand,1.450457042,9,9
90,Australia,149471.7895,France,4.650260116,10,10
91,Australia,107902.75,Cambodia,0.559938249,11,11
92,Australia,84100.433,Canada,1.154863873,12,12
93,Australia,55720.857,Honduras,1.440103014,13,13
